jugador, nombre, apellido, posicion, camiseta
"JUG-0001", "Nombre0001", "Apellido0001", "ARQUERO", 1
"JUG-0002", "Nombre0002", "Apellido0002", "ARQUERO", 2
"JUG-0003", "Nombre0003", "Apellido0003", "ARQUERO", 3
"JUG-0004", "Nombre0004", "Apellido0004", "DEFENSOR", 4
"JUG-0005", "Nombre0005", "Apellido0005", "DEFENSOR", 5
"JUG-0006", "Nombre0006", "Apellido0006", "DEFENSOR", 6
"JUG-0007", "Nombre0007", "Apellido0007", "DEFENSOR", 7
"JUG-0008", "Nombre0008", "Apellido0008", "DEFENSOR", 8
"JUG-0009", "Nombre0009", "Apellido0009", "DEFENSOR", 9
"JUG-0010", "Nombre0010", "Apellido0010", "DEFENSOR", 10
"JUG-0011", "Nombre0011", "Apellido0011", "DEFENSOR", 11
"JUG-0012", "Nombre0012", "Apellido0012", "MEDIOCAMPISTA", 12
"JUG-0013", "Nombre0013", "Apellido0013", "MEDIOCAMPISTA", 13
"JUG-0014", "Nombre0014", "Apellido0014", "MEDIOCAMPISTA", 14
"JUG-0015", "Nombre0015", "Apellido0015", "MEDIOCAMPISTA", 15
"JUG-0016", "Nombre0016", "Apellido0016", "MEDIOCAMPISTA", 16
"JUG-0017", "Nombre0017", "Apellido0017", "MEDIOCAMPISTA", 17
"JUG-0018", "Nombre0018", "Apellido0018", "MEDIOCAMPISTA", 18
"JUG-0019", "Nombre0019", "Apellido0019", "MEDIOCAMPISTA", 19
"JUG-0020", "Nombre0020", "Apellido0020", "DELANTERO", 20
"JUG-0021", "Nombre0021", "Apellido0021", "DELANTERO", 21
"JUG-0022", "Nombre0022", "Apellido0022", "DELANTERO", 22
"JUG-0023", "Nombre0023", "Apellido0023", "DELANTERO", 23
"JUG-0024", "Nombre0024", "Apellido0024", "DELANTERO", 24
